employment_income,deducts,amt0,amt1,amt2,amt3,amt4,amt5,amt6,amt7
200000.0,112500.0,5275.0,5672.0,5974.0,6277.0,6580.0,6882.0,7185.0,7487.0
200000.0,113000.0,5309.0,5706.0,6008.0,6311.0,6614.0,6916.0,7219.0,7521.0
200000.0,113500.0,5343.0,5740.0,6042.0,6345.0,6648.0,6950.0,7253.0,7555.0
200000.0,114000.0,5377.0,5774.0,6076.0,6379.0,6682.0,6984.0,7287.0,7589.0
200000.0,114500.0,5411.0,5808.0,6110.0,6413.0,6716.0,7018.0,7321.0,7623.0
200000.0,115000.0,5445.0,5842.0,6144.0,6447.0,6750.0,7052.0,7355.0,7657.0
200000.0,115500.0,5479.0,5876.0,6178.0,6481.0,6784.0,7086.0,7389.0,7691.0
200000.0,116000.0,5513.0,5910.0,6212.0,6515.0,6818.0,7120.0,7423.0,7725.0
200000.0,116500.0,5547.0,5944.0,6246.0,6549.0,6852.0,7154.0,7457.0,7759.0
200000.0,117000.0,5581.0,5978.0,6280.0,6583.0,6886.0,7188.0,7491.0,7793.0
200000.0,117500.0,5615.0,6012.0,6314.0,6617.0,6920.0,7222.0,7525.0,7827.0
200000.0,118000.0,5649.0,6046.0,6348.0,6651.0,6954.0,7256.0,7559.0,7861.0
200000.0,118500.0,5683.0,6080.0,6382.0,6685.0,6988.0,7290.0,7593.0,7895.0
200000.0,119000.0,5717.0,6114.0,6416.0,6719.0,7022.0,7324.0,7627.0,7929.0
200000.0,119500.0,5751.0,6148.0,6450.0,6753.0,7056.0,7358.0,7661.0,7963.0
200000.0,120000.0,5785.0,6182.0,6484.0,6787.0,7090.0,7392.0,7695.0,7997.0
200000.0,120500.0,5819.0,6216.0,6518.0,6821.0,7124.0,7426.0,7729.0,8031.0
200000.0,121000.0,5853.0,6250.0,6552.0,6855.0,7158.0,7460.0,7763.0,8065.0
200000.0,121500.0,5887.0,6284.0,6586.0,6889.0,7192.0,7494.0,7797.0,8099.0
200000.0,122000.0,5921.0,6318.0,6620.0,6923.0,7226.0,7528.0,7831.0,8133.0
200000.0,122500.0,5955.0,6352.0,6654.0,6957.0,7260.0,7562.0,7865.0,8167.0
200000.0,123000.0,5989.0,6386.0,6688.0,6991.0,7294.0,7596.0,7899.0,8201.0
200000.0,123500.0,6023.0,6420.0,6722.0,7025.0,7328.0,7630.0,7933.0,8235.0
200000.0,124000.0,6057.0,6454.0,6756.0,7059.0,7362.0,7664.0,7967.0,8269.0
200000.0,124500.0,6091.0,6488.0,6790.0,7093.0,7396.0,7698.0,8001.0,8303.0
200000.0,125000.0,6125.0,6522.0,6824.0,7127.0,7430.0,7732.0,8035.0,8337.0
200000.0,125500.0,6159.0,6556.0,6858.0,7161.0,7464.0,7766.0,8069.0,8371.0
200000.0,126000.0,6193.0,6590.0,6892.0,7195.0,7498.0,7800.0,8103.0,8405.0
200000.0,126500.0,6227.0,6624.0,6926.0,7229.0,7532.0,7834.0,8137.0,8439.0
200000.0,127000.0,6261.0,6658.0,6960.0,7263.0,7566.0,7868.0,8171.0,8473.0
200000.0,127500.0,6295.0,6692.0,6994.0,7297.0,7600.0,7902.0,8205.0,8507.0
200000.0,128000.0,6329.0,6726.0,7028.0,7331.0,7634.0,7936.0,8239.0,8541.0
200000.0,128500.0,6363.0,6760.0,7062.0,7365.0,7668.0,7970.0,8273.0,8575.0
200000.0,129000.0,6397.0,6794.0,7096.0,7399.0,7702.0,8004.0,8307.0,8609.0
200000.0,129500.0,6431.0,6828.0,7130.0,7433.0,7736.0,8038.0,8341.0,8643.0
200000.0,130000.0,6465.0,6862.0,7164.0,7467.0,7770.0,8072.0,8375.0,8677.0
200000.0,130500.0,6499.0,6896.0,7198.0,7501.0,7804.0,8106.0,8409.0,8711.0
200000.0,131000.0,6533.0,6930.0,7232.0,7535.0,7838.0,8140.0,8443.0,8745.0
200000.0,131500.0,6567.0,6964.0,7266.0,7569.0,7872.0,8174.0,8477.0,8779.0
200000.0,132000.0,6601.0,6998.0,7300.0,7603.0,7906.0,8208.0,8511.0,8813.0
200000.0,132500.0,6635.0,7032.0,7334.0,7637.0,7940.0,8242.0,8545.0,8847.0
200000.0,133000.0,6669.0,7066.0,7368.0,7671.0,7974.0,8276.0,8579.0,8881.0
200000.0,133500.0,6703.0,7100.0,7402.0,7705.0,8008.0,8310.0,8613.0,8915.0
200000.0,134000.0,6737.0,7134.0,7436.0,7739.0,8042.0,8344.0,8647.0,8949.0
200000.0,134500.0,6771.0,7168.0,7470.0,7773.0,8076.0,8378.0,8681.0,8980.0
200000.0,135000.0,6805.0,7202.0,7504.0,7807.0,8110.0,8412.0,8715.0,9007.0
200000.0,135500.0,6839.0,7236.0,7538.0,7841.0,8144.0,8446.0,8749.0,9034.0
200000.0,136000.0,6873.0,7270.0,7572.0,7875.0,8178.0,8480.0,8783.0,9060.0
